AUC_true,h_hist,mismatch,m_application,C_labels,max_labels_tested,Vmin,rho,robust_oracle_cap,status
0.65,0.675,0.025,64,128,4096,0.00229255487795455,0.0836080000461289,1,finite_within_grid
0.65,0.675,0.025,128,256,4096,0.00114126897619138,0.118498730936957,1,finite_within_grid
0.65,0.675,0.025,256,512,4096,0.000569382372399216,0.167766674650757,0.95343398488956,finite_within_grid
0.65,0.675,0.025,512,1024,4096,0.000284378157275489,0.23738845137261,0.625434325643999,finite_within_grid
0.65,0.7,0.0499999999999999,16,64,4096,0.00941062572554113,0.082533155566252,1,finite_within_grid
0.65,0.7,0.0499999999999999,32,64,4096,0.00462517745819625,0.11772630156782,1,finite_within_grid
0.65,0.7,0.0499999999999999,64,128,4096,0.00229255487795455,0.167216000092257,0.956715128500733,finite_within_grid
0.65,0.7,0.0499999999999999,128,256,4096,0.00114126897619138,0.236997461873913,0.626852332883742,finite_within_grid
0.65,0.7,0.0499999999999999,256,512,4096,0.000569382372399216,0.335533349301514,0.371007781577994,finite_within_grid
0.65,0.7,0.0499999999999999,512,2048,4096,0.000284378157275489,0.474776902745219,0.204266907160164,finite_within_grid
0.65,0.725,0.075,16,64,4096,0.00941062572554113,0.123799733349378,1,finite_within_grid
0.65,0.725,0.075,32,64,4096,0.00462517745819625,0.176589452351731,0.902458026128683,finite_within_grid
0.65,0.725,0.075,64,128,4096,0.00229255487795455,0.250824000138386,0.579106785691599,finite_within_grid
0.65,0.725,0.075,128,256,4096,0.00114126897619138,0.35549619281087,0.337340705847547,finite_within_grid
0.65,0.725,0.075,256,1024,4096,0.000569382372399216,0.503300023952272,0.183838303213653,finite_within_grid
0.65,0.725,0.075,512,Inf,4096,0.000284378157275489,0.712165354117829,0.0962463899608015,safe_but_grid_censored
0.65,0.75,0.1,16,64,4096,0.00941062572554113,0.165066311132504,0.969636513382289,finite_within_grid
0.65,0.75,0.1,32,64,4096,0.00462517745819625,0.235452603135641,0.632495225636282,finite_within_grid
0.65,0.75,0.1,64,256,4096,0.00229255487795455,0.334432000184515,0.372998925075537,finite_within_grid
0.65,0.75,0.1,128,512,4096,0.00114126897619138,0.473994923747827,0.204872349573508,finite_within_grid
0.65,0.75,0.1,256,2048,4096,0.000569382372399216,0.671066698603029,0.107741843815982,finite_within_grid
0.65,0.75,0.1,512,Inf,4096,0.000284378157275489,0.949553805490439,0.0553029367311453,safe_but_grid_censored
0.7,0.6,-0.1,16,64,4096,0.00842804693534727,0.174423189501754,0.914697793522681,finite_within_grid
0.7,0.6,-0.1,32,128,4096,0.00413574091659609,0.248995233900543,0.585146677630533,finite_within_grid
0.7,0.6,-0.1,64,256,4096,0.00204829982052866,0.353810675752778,0.340014749141391,finite_within_grid
